time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,7/12/2021 19:52,38.1041538,-84.75724388,0,0,893.5514121,893.5514121,0.328084,0,0,0,15,5,0,893.5514121,0,0,0,0,0,0,122.8,1.5,-0.1,0,0,1072,1024,1024,1021,7,0,0,0,127.3,0,0,98,4.256,4.264,4.265,4.264,0,0,0,84.11,893.5514121,0,41,Motors_Started,
100,7/12/2021 19:52,38.1041538,-84.75724383,0,0,893.5514121,893.5514121,0.328084,0,0.014866142,0.014866142,15,5,0,893.5514121,0,0,0.014866142,0,0,0,122.8,1.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,126.8,0,0,98,4.256,4.264,4.265,4.264,0,0,0,84.11,893.5514121,0,41,Motors_Started,
200,7/12/2021 19:52,38.10415379,-84.75724378,0,0,893.5514121,893.5514121,0.328084,0,0.029300591,0.029380775,15,5,17.036,893.5514121,0,0,0.029300591,0,0,0,122.7,1.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,126.8,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,Setting new Return-To-Home altitude to 50m (164 ft). Data Recorder File Index is 221. Setting new Maximum Flight Altitude to 120m (394 ft)
300,7/12/2021 19:52,38.10415379,-84.75724373,0,0,893.5514121,893.5514121,0.328084,0,0.044131891,0.04421949,15,5,17.036,893.5514121,0,0,0.044131891,0,0,0,122.8,1.5,-0.1,0,0,1023,1024,1024,1024,0,0,0,0,124.3,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
400,7/12/2021 19:52,38.10415378,-84.75724368,0,0,893.5514121,893.5514121,0.328084,0,0.058700461,0.058966209,15,5,17.036,893.5514121,0,0,0.058700461,0,0,0,122.8,1.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,123.9,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
500,7/12/2021 19:52,38.10415377,-84.75724363,0,0,893.5514121,893.5514121,0.328084,0,0.073888782,0.074155186,15,5,17.036,893.5514121,0,0,0.073888782,0,0,0,122.8,1.5,-0.1,0,0,1023,1024,1024,1024,0,0,0,0,123.6,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
700,7/12/2021 19:52,38.10415376,-84.75724353,0,0,893.5514121,893.5514121,0.328084,0,0.103266408,0.103557418,15,5,17.036,893.5514121,0,0,0.103266408,0,0,0,122.8,1.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,123.5,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
800,7/12/2021 19:52,38.10415374,-84.75724349,0,0,893.5514121,893.5514121,0.328084,0,0.11451083,0.116161421,15,5,17.036,893.5514121,0,0,0.11451083,0,0,0,122.8,1.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,123.5,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
900,7/12/2021 19:52,38.1041537,-84.75724347,0,0,893.5514121,893.5514121,0.328084,0,0.123225398,0.129801185,15,5,17.036,893.5514121,0,0,0.123225398,0,0,0,122.8,1.6,-0.1,0,0,1024,1024,1027,1024,0,0,0,0,123.5,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
1000,7/12/2021 19:52,38.10415367,-84.75724346,0,0,893.5514121,893.5514121,0.328084,0,0.131691605,0.144652892,15,5,17.036,893.5514121,0,0,0.131691605,0,0,0,122.8,1.7,-0.2,0,0,1024,1024,1025,1022,0,0,0,0,123.3,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
1100,7/12/2021 19:52,38.10415364,-84.75724343,0,0,893.5514121,893.5514121,0.328084,0,0.142842524,0.156401908,15,5,17.036,893.5514121,0,0,0.142842524,0,0,0,122.8,1.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,123.3,0,0,98,4.256,4.264,4.265,4.264,0,0,1.218,84.11,893.5514121,0,41,Motors_Started,
1200,7/12/2021 19:52,38.10415362,-84.75724339,0,0,893.5514121,893.5514121,0.328084,0,0.155185044,0.169259192,15,5,17.036,893.5514121,0,0,0.155185044,0,0,0,122.8,1.6,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,123.2,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,41,Motors_Started,
1300,7/12/2021 19:52,38.10415361,-84.75724335,0,0,893.5514121,893.5514121,0.328084,0,0.167382879,0.181464573,15,5,17.036,893.5514121,0,0,0.167382879,0,0,0,122.7,1.6,-0.1,0,0,1024,1024,1027,1023,0,0,0,0,123.2,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,41,Motors_Started,
1400,7/12/2021 19:52,38.1041536,-84.75724333,0,0,893.5514121,893.5514121,0.328084,0,0.176201777,0.190286751,15,5,17.036,893.5514121,0,0,0.176201777,0,0,0,122.7,1.6,-0.2,0,0,1024,1024,1043,1023,0,0,3,0,123.2,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,41,Motors_Started,
1500,7/12/2021 19:52,38.10415359,-84.75724331,0,0,893.5514121,893.5514121,0.328084,0,0.181262473,0.195348431,15,5,17.036,893.5514121,0,0,0.181262473,0,0,0,122.7,1.7,-0.1,0,0,1024,1024,1060,1023,0,0,5,0,123.2,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
1600,7/12/2021 19:52,38.10415357,-84.75724329,0,0,893.5514121,893.5514121,0.328084,0,0.18923393,0.204301516,15,5,17.036,893.5514121,0,0,0.18923393,0,0,0,122.7,1.6,-0.1,0,0,1024,1024,1068,1023,0,0,7,0,123.2,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
1700,7/12/2021 19:52,38.10415354,-84.75724326,0,0,893.5514121,893.5514121,0.328084,0,0.20273229,0.219120086,15,5,17.036,893.5514121,0,0,0.20273229,0,0,0,122.7,1.5,-0.1,0,0,1024,1024,1103,1023,0,0,12,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
1800,7/12/2021 19:52,38.10415351,-84.75724322,0,0,893.5514121,893.5514121,0.328084,0,0.216885834,0.234370742,15,5,17.036,893.5514121,0,0,0.216885834,0,0,0,122.7,1.5,-0.1,0,0,1024,1024,1159,1023,0,0,20,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
1900,7/12/2021 19:52,38.10415349,-84.75724318,0,0,893.5514121,893.5514121,0.328084,0,0.23100296,0.24850132,15,5,17.036,893.5514121,0,0,0.23100296,0,0,0,122.7,1.5,-0.1,0,0,1024,1024,1258,1024,0,0,35,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
2100,7/12/2021 19:52,38.10415347,-84.75724312,0,0,893.5514121,893.5514121,0.328084,0,0.248171596,0.265712607,15,5,17.036,893.5514121,0,0,0.248171596,0,0,0,122.7,1.6,-0.2,0,0,1024,1024,1318,1024,0,0,45,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
2200,7/12/2021 19:52,38.10415347,-84.75724311,0,0,893.5514121,893.5514121,0.328084,0,0.253292987,0.271225402,15,5,17.036,893.5514121,0,0,0.253292987,0,0,0,122.7,1.7,-0.2,0,0,1024,1024,1340,1024,0,0,48,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
2300,7/12/2021 19:52,38.10415347,-84.75724308,0,0,893.5514121,893.5514121,0.328084,0,0.26053741,0.279930455,15,5,17.036,893.5514121,0,0,0.26053741,0,0,0,122.7,2.3,-0.2,0,0,1024,1024,1391,1024,0,0,56,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
2400,7/12/2021 19:52,38.10415349,-84.75724307,0,0,893.5514121,893.5514121,0.328084,0,0.257684063,0.288006899,15,5,17.036,893.5514121,0,0,0.26053741,0,0,0,122.6,3.9,-1,0,0,1024,1024,1449,1024,0,0,64,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,10,Assisted_Takeoff,
2600,7/12/2021 19:52,38.10415375,-84.75724328,0,0,893.5514121,893.5514121,0.328084,0.4921268,0.174945872,0.397509855,15,5,17.036,893.5514121,0,0.4921268,0.26053741,0.447388,-0.223694,-0.894776,122.4,2.6,-0.5,0,0,1024,1024,1449,1024,0,0,64,0,123.1,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,6,P-GPS,
2700,7/12/2021 19:52,38.104154,-84.75724348,0,0,893.5514121,893.5514121,0.656168,0.4921268,0.138506566,0.506292667,15,5,17.036,893.5514121,0,0.4921268,0.26053741,0.447388,-0.223694,-1.342164,122.3,0.5,0.7,0,0,1024,1024,1474,1024,0,0,68,0,123,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.5514121,0,6,P-GPS,
2800,7/12/2021 19:52,38.10415427,-84.75724372,0.328084,0.328084,893.5514121,893.8794961,0.984252,0.4921268,0.178212276,0.626535453,15,5,17.036,893.8794961,0.328084,0.4921268,0.26053741,0.447388,-0.223694,-2.013246,122.3,-1.1,0.3,0,0,1024,1024,1476,1024,0,0,68,0,123,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,893.8794961,0.328084,6,P-GPS,
2900,7/12/2021 19:52,38.10415452,-84.75724396,0.656168,0.6889764,893.5186037,894.2075801,1.312336,0.4921268,0.265629274,0.742414722,15,5,17.036,894.2075801,0.656168,0.4921268,0.265629274,0.447388,-0.223694,-2.684328,122.5,-1.9,0.3,0,0,1024,1024,1476,1024,0,0,68,0,123,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,894.2075801,0.656168,6,P-GPS,
3000,7/12/2021 19:52,38.10415481,-84.75724418,0.984252,1.0170604,893.5186037,894.5356641,1.64042,0.3131716,0.377972453,0.863136511,14,5,17.036,894.5356641,0.984252,0.4921268,0.377972453,0.223694,-0.223694,-3.35541,122.7,-2.6,0.5,0,0,1024,1024,1470,1024,0,0,68,0,123,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,894.5356641,0.984252,6,P-GPS,
3100,7/12/2021 19:52,38.1041551,-84.75724432,1.64042,1.6732284,893.5186037,895.1918321,2.296588,0.3131716,0.492099753,0.97812011,14,5,17.036,895.1918321,1.64042,0.4921268,0.492099753,0.223694,0,-4.026492,122.8,-3.2,0.6,0,0,1024,1024,1474,1024,0,0,68,0,123,0,0,98,4.242,4.25,4.253,4.253,0,0,1.274,84.11,895.1918321,1.64042,6,P-GPS,
3200,7/12/2021 19:52,38.10415541,-84.75724436,2.296588,2.3293964,893.5186037,895.8480001,2.952756,0.223694,0.603021673,1.090324838,15,5,16.41,895.8480001,2.296588,0.4921268,0.603021673,0.223694,0,-4.921268,122.9,-3.5,0.1,0,0,1024,1024,1487,1024,0,0,70,0,123,0,0,98,4.178,4.195,4.231,4.242,0,0,3.48,84.11,895.8480001,2.296588,6,P-GPS,Home Point recorded. Return-to-Home Altitude:164FT
3300,7/12/2021 19:52,38.1041557,-84.75724424,3.28084,3.3136484,893.5186037,896.8322521,3.937008,0.223694,0.700675875,1.20172576,15,5,16.41,896.8322521,3.28084,0.4921268,0.700675875,0.223694,0,-5.59235,122.7,-2.7,1.6,0,0,1024,1024,1495,1021,0,0,71,0,123,0,0,98,4.178,4.195,4.231,4.242,0,0,3.48,84.11,896.8322521,3.28084,6,P-GPS,
3400,7/12/2021 19:52,38.10415599,-84.75724399,3.937008,3.9698164,893.5186037,897.4884201,4.92126,0.223694,0.801223779,1.33131894,15,5,16.41,897.4884201,3.937008,0.4921268,0.801223779,0.223694,0,-6.263432,122.8,-2.1,4,0,0,1024,1024,1515,872,0,0,74,-23,123,0,0,98,4.178,4.195,4.231,4.242,0,0,3.48,84.11,897.4884201,3.937008,6,P-GPS,
3500,7/12/2021 19:52,38.1041562,-84.75724375,4.92126,4.9540684,893.5186037,898.4726721,5.905512,0.223694,0.878044648,1.433589285,15,5,16.41,898.4726721,4.92126,0.4921268,0.878044648,0,0,-6.934514,122.8,-0.4,3.7,0,0,1024,1024,1523,767,0,0,76,-39,122.3,0,0,98,4.178,4.195,4.231,4.242,0,0,3.48,84.11,898.4726721,4.92126,6,P-GPS,
3600,7/12/2021 19:52,38.10415636,-84.75724355,6.233596,6.2664044,893.5186037,899.7850081,6.889764,0,0.941768403,1.515725114,15,5,16.41,899.7850081,6.233596,0.4921268,0.941768403,0,0,-7.381902,120.6,0.6,2.4,0,0,1024,1024,1592,690,0,0,86,-51,120.7,0,0,98,4.178,4.195,4.231,4.242,0,0,3.48,84.11,899.7850081,6.233596,6,P-GPS,
3700,7/12/2021 19:52,38.10415649,-84.75724352,7.217848,7.2506564,893.5186037,900.7692601,7.874016,0.223694,0.989511187,1.563736927,15,5,16.41,900.7692601,7.217848,0.4921268,0.989511187,0,-0.223694,-7.605596,116.1,-1.4,1.4,0,0,1024,1024,1602,678,0,0,88,-52,118.5,0,0,98,4.178,4.195,4.231,4.242,0,0,3.48,84.11,900.7692601,7.217848,6,P-GPS,
